&b / °,R_0 / 1/s,R_1 / 1/s
30.8,44.1,7.7
30.9,41.5,9.3
31,39.3,10.1
31.1,40.2,8.4
31.2,42.7,8.7
31.3,44.2,8.5
31.4,42.7,7.7
31.5,39.3,10.1
31.6,45.2,8.3
31.7,61.9,8.8
31.8,68.8,11.1
31.9,79.7,12.6
32,68.5,13.2
32.1,55.3,10.2
32.2,50.3,9.1
32.3,37.7,9.1
32.4,42,7.8
32.5,39,7.8
32.6,37.1,7.6
32.7,38.4,8.2
32.8,37.2,7.9
32.9,36.6,7.9
33,37.9,8.9
33.1,35.5,8.8
33.2,38.1,8.8
33.3,35.6,5.9
33.4,36.3,6.5
33.5,37.9,6.3
33.6,35.3,7.5
33.7,36.6,6.8
33.8,35.1,7.2
33.9,37.9,5.8
34,29.8,7.1
