&b / °,R_0 / 1/s,R_1 / 1/s
3,2.5,
3.1,2.57,
3.2,2.97,
3.3,3.82,
3.4,3.98,
3.5,4.72,
3.6,4.8,
3.7,5.35,
3.8,6.35,
3.9,7.18,
4,8.1,
4.1,8.8,
4.2,9.05,
4.3,9.75,
4.4,10.38,
4.5,10.25,
4.6,9.98,
4.7,10,
4.8,9.35,
4.9,10.07,
5,10.43,
5.1,9.62,
5.2,10.2,
5.3,,9.55
5.4,,9.12
5.5,,9.05
5.6,,8.7
5.7,,8.97
5.8,,7.98
5.9,,8.72
6,,8
6.1,,8.07
6.2,,7.62
6.3,,8.12
6.4,,8.47
6.5,,8.53
6.6,,8.85
6.7,,9.55
6.8,,8.7
6.9,,10.13
7,,11.95
