&b / °,R_0 / 1/s
5,9.25
5.1,8.65
5.2,8.88
5.3,8.63
5.4,8.63
5.5,8.65
5.6,8.15
5.7,8.05
5.8,7.6
5.9,7.22
6,6.83
6.1,7.73
6.2,7.48
6.3,7.6
6.4,7.72
6.5,8.65
6.6,9.63
6.7,10
6.8,9.77
6.9,8.95
7,10.25
